world,tier,league,position,row,column,club,nation,file
Ezuraya,4,Ezurayan Island Conference,5,1,5,Tenkori,Tenzai,ezuraya/tier-04-ezurayan-island-conference/05_tenkori.png
Ezuraya,4,Ezurayan Island Conference,6,1,6,Seihama,Seiraku,ezuraya/tier-04-ezurayan-island-conference/06_seihama.png
Ezuraya,4,Ezurayan Island Conference,7,2,1,Aokina,Aokaze,ezuraya/tier-04-ezurayan-island-conference/07_aokina.png
Ezuraya,4,Ezurayan Island Conference,8,2,2,Daisora South,Daisora,ezuraya/tier-04-ezurayan-island-conference/08_daisora-south.png
Ezuraya,4,Ezurayan Island Conference,9,2,3,Kurobane,Kaishin,ezuraya/tier-04-ezurayan-island-conference/09_kurobane.png
Ezuraya,4,Ezurayan Island Conference,10,2,4,Mizuhana,Hoshara,ezuraya/tier-04-ezurayan-island-conference/10_mizuhana.png
Ezuraya,4,Ezurayan Island Conference,11,2,5,Takezora,Yomori,ezuraya/tier-04-ezurayan-island-conference/11_takezora.png
Ezuraya,4,Ezurayan Island Conference,12,2,6,Sorin Gate,Seiraku,ezuraya/tier-04-ezurayan-island-conference/12_sorin-gate.png
Ezuraya,4,Ezurayan Island Conference,13,3,1,Akemori,Rinzu,ezuraya/tier-04-ezurayan-island-conference/13_akemori.png
Ezuraya,4,Ezurayan Island Conference,14,3,2,Kinmori,Tenzai,ezuraya/tier-04-ezurayan-island-conference/14_kinmori.png
Ezuraya,4,Ezurayan Island Conference,15,3,3,Natsu Vale,Aokaze,ezuraya/tier-04-ezurayan-island-conference/15_natsu-vale.png
Ezuraya,4,Ezurayan Island Conference,16,3,4,Tsukibara,Daisora,ezuraya/tier-04-ezurayan-island-conference/16_tsukibara.png
Ezuraya,4,Ezurayan Island Conference,17,3,5,Orokiri,Kaishin,ezuraya/tier-04-ezurayan-island-conference/17_orokiri.png
Ezuraya,4,Ezurayan Island Conference,18,3,6,Shirosen,Hoshara,ezuraya/tier-04-ezurayan-island-conference/18_shirosen.png
